Block    Distance          Distance          Distance          Distance          Rotaion
Name     One               Two               Three             Four              Importance
SLRA04   0.53125           0                 0                 0                 4
SOLENOID 0.25              0                 0.25              0                 5
STAB     0.25              0                 0                 0                 6
STABED   0.0625            0                 0                 0                 6
SW-FL-NC 0.25              0                 0.25              0                 5
SW-FL-NO 0.25              0                 0.25              0                 5
SW-FW-NC 0.25              0                 0.25              0                 5
SW-FW-NO 0.25              0                 0.25              0                 5
SW-LM-NC 0.25              0                 0.25              0                 5
SW-LM-NO 0.25              0                 0.25              0                 5
SWNC     0.5625            0                 0                 0                 6
SW-NC    0.25              0                 0.25              0                 5
SW-NC1   0.25              0                 0.25              0                 5
SWNO     0.5625            0                 0                 0                 6
SW-NO    0.25              0                 0.25              0                 5
SW-NO1   0.25              0                 0.25              0                 5
SW-PR-NC 0.25              0                 0.25              0                 5
SW-PR-NO 0.25              0                 0.25              0                 5
SW-TP-NC 0.25              0                 0.25              0                 5
SW-TP-NO 0.25              0                 0.25              0                 5
TA       1.537019230762    2.831249999984    0                 2.831249999984    3
TB       1.597596153847    3.140786816434    0                 3.140463183566    3
TC       1.75              3.65625           0                 3.65625           3
TCOUPLE  0.5               0                 0                 0                 4
TD       2.09375           4.25              0                 4.25              3
TDDE_CL  0.25              0                 0.25              0                 5
TDDE_OP  0.25              0                 0.25              0                 5
TDE_CL   0.25              0                 0.25              0                 5
TDE_OP   0.25              0                 0.25              0                 5
TDNC     0.5625            0                 0                 0                 6
TDNO     0.5625            0                 0                 0                 6
TE       2.9375            5.1875            0                 5.1875            3
TENC     0.5625            0                 0                 0                 6
TENO     0.5625            0                 0                 0                 6
TERM01   0.0625            0.0625            0.0625            0.0625            nil
TERM02   0.0625            0.0625            0.0625            0.0625            nil
TERM03   0.0625            0.0625            0.0625            0.0625            6
TERM04   0                 0                 0                 0                 nil
TERM05   0.0625            0.0625            0.0625            0.0625            nil
TERM06   0.0625            0.0625            0.0625            0.0625            nil
TERM07   0.0625            0.0625            0.0625            0.0625            nil
TERM08   0.0625            0.0625            0.0625            0.0625            nil
TERM09   0.0625            0.0625            0.0625            0.0625            nil
TERM10   0.0625            0.0625            0.0625            0.0625            4
TERM11   0.0625            0.0625            0.0625            0.0625            nil
TERM12   0                 0                 0                 0                 nil
TERM13   0.0625            0.0625            0.0625            0.0625            nil
TERM14   0.0625            0.0625            0.056845187967    0.0625            nil
TERM15   0.0625            0.0625            0.0625            0.0625            nil
TERM16   0.0625            0.0625            0.0625            0.0625            nil
TERM17   0.072168783649    0.0625            0.072168783649    0.0625            nil
TERM18   0                 0                 0                 0                 nil
TERM19   0.072168783649    0.0625            0.072168783649    0.0625            nil
TERM20   0.072168783649    0.0625            0.072168783649    0.0625            nil
TERM21   0.072168783649    0.0625            0.072168783649    0.0625            nil
TERM22   0.072168783649    0.0625            0.072168783649    0.0625            nil
TERM23   0.032327586207    0.0625            0.030531609195    0.062923337035    nil
TERM24   0.032327586207    0.0625            0.030531609195    0.062923337035    nil
TERM25   0.061552678908    0.062501794809    0.0625            0.062501794809    nil
TERM26   0.032327586207    0.0625            0.030531609195    0.062923337035    nil
TERM27   0.032431006837    0.0625            0.030531609195    0.062923337035    nil
TERM28   0.032327586207    0.0625            0.033260482231    0.062923337035    nil
TESTWELL 0.1248828125      0.1248828125      0.1248828125      0.1248828125      nil
TF       3.75              6.125             0                 6.125             3
TG       4.375             7.8125            0                 7.8125            3
TH       4.375             7.8125            0                 7.8125            3
TI       5.21875           9.375             0                 9.375             3
TJ       5.21875           9.375             0                 9.375             3
TMNC     0.5625            0                 0                 0                 6
TMNO     0.5625            0                 0                 0                 6
TOLOAD   0.5625            0                 0                 0                 6
TRIAC    0.1875            0                 0                 0                 4
TSIDEA   5.662499999968    0                 0                 0                 0
TSIDEB   6.28125           0                 0                 0                 0
TSIDEC   7.3125            0                 0                 0                 0
TSIDED   8.5               0                 0                 0                 0
TSIDEE   10.375            0                 0                 0                 0
TSIDEF   12.25             0                 0                 0                 0
TSIDEG   15.625            0                 0                 0                 0
TSIDEH   15.625            0                 0                 0                 0
TSIDEI   18.75             0                 0                 0                 0
TSIDEJ   18.75             0                 0                 0                 0
UCLMPEB  0                 0                 0                 0                 4
UCLMPEC  0                 0                 0                 0                 4
UCLMPEE  0                 0                 0                 0                 4
UCLMPEF  0                 0                 0                 0                 4
UCLMPEG  0                 0                 0                 0                 4
UCLMPEH  0                 0                 0                 0                 4
UCLMPEI  0                 0                 0                 0                 4
UCLMPEJ  0                 0                 0                 0                 4
UCLMPFB  1.625             0                 0                 0                 4
UCLMPFC  1.625             0                 0                 0                 4
UCLMPFE  1.625             0                 0                 0                 4
UCLMPFF  1.625             0                 0                 0                 4
UCLMPFG  1.625             0                 0                 0                 4
UCLMPFH  1.625             0                 0                 0                 4
UCLMPFI  1.625             0                 0                 0                 4
UCLMPFJ  1.625             0                 0                 0                 4
UCLMPSB  0                 0                 0                 0                 4
UCLMPSC  0                 0                 0                 0                 4
UCLMPSE  0                 0                 0                 0                 4
UCLMPSF  0                 0                 0                 0                 4
UCLMPSG  0                 0                 0                 0                 4
UCLMPSH  0                 0                 0                 0                 4
UCLMPSI  0                 0                 0                 0                 4
UCLMPSJ  0                 0                 0                 0                 4
UJTNBASE 0.25              0                 0                 0                 4
UJTPBASE 0.25              0                 0                 0                 4
UNA      1.625126614676    0                 0                 0                 0
UNB      1.625126614676    0                 0                 0                 0
UNJA     1.814208378083    0                 0                 0                 0
UNJB     1.814208378083    0                 0                 0                 0
UNYA     1.8125            0                 0                 0                 0
UNYB     1.75              0                 0                 0                 0
UNYC     2                 0                 0                 0                 0
UNYD     2.1875            0                 0                 0                 0
UNYE     2.625             0                 0                 0                 0
UNYF     2.5625            0                 0                 0                 0
UNYG     3.1875            0                 0                 0                 0
UNYH     3.4375            0                 0                 0                 0
UNYI     4.125             0                 0                 0                 0
UNYJ     4.125             0                 0                 0                 0
UNYK     4.112522511525    0                 0                 0                 0
UNYL     4.237522511525    0                 0                 0                 0
XA       2.831249999984    1.537019230762    2.831249999984    1.537019230762    1
XB       3.140463183566    1.597596153847    3.140786816434    1.597596153847    1
XC       3.65625           1.75              3.65625           1.75              1
XD       4.25              2.09375           4.25              2.09375           1
XE       5.1875            2.9375            5.1875            2.9375            1
XF       6.125             3.75              6.125             3.75              1
XFMR01   0.1875            0                 0                 0                 6
XFMR3    0.125             0                 0                 0                 6
XFMR4    0.15625           0                 0                 0                 6
XFMRDEL  0                 0                 0                 0                 nil
XFMRDELG 0                 0                 0                 0                 nil
XFMRWYE  0                 0                 0                 0                 nil
XFMRWYEG 0                 0                 0                 0                 nil
C8A      2.843750000000    0.000000000000    2.843750000000    0.000000000000    1
C8B      3.140600000000    0.000000000000    3.140600000000    0.000000000000    1
C8C      3.656250          0                 3.6562500         0                 1
C8D      4.250000000000    0.000000000000    4.250000000000    0.000000000000    1
C8E      5.187500000000    0.000000000000    5.187500000000    0.000000000000    1
C8F      6.125000000000    0.000000000000    6.125000000000    0.000000000000    1
C8G      7.812500000000    0.000000000000    7.812500000000    0.000000000000    1
C8H      7.812500000000    0.000000000000    7.812500000000    0.000000000000    1
C8-SIDEA 2.843750000000    0.000000000000    2.843750000000    0.000000000000    0
C8-SIDEB 3.140600000000    0.000000000000    3.140600000000    0.000000000000    0
C8-SIDEC 3.656250000000    0.000000000000    3.656250000000    0.000000000000    0
C8-SIDED 4.250000000000    0.000000000000    4.250000000000    0.000000000000    0
C8-SIDEE 5.187500000000    0.000000000000    5.187500000000    0.000000000000    0
C8-SIDEF 6.125000000000    0.000000000000    6.125000000000    0.000000000000    0
C8-SIDEG 7.812500000000    0.000000000000    7.812500000000    0.000000000000    0
C8-SIDEH 7.812500000000    0.000000000000    7.812500000000    0.000000000000    0
C8-BACKA 2.843750000000    0.000000000000    2.843750000000    0.000000000000    1
C8-BACKB 3.140600000000    0.000000000000    3.140600000000    0.000000000000    1
C8-BACKC 3.656250000000    0.000000000000    3.656250000000    0.000000000000    1
C8-BACKD 4.250000000000    0.000000000000    4.250000000000    0.000000000000    1
C8-BACKE 5.187500000000    0.000000000000    5.187500000000    0.000000000000    1
C8-BACKF 6.125000000000    0.000000000000    6.125000000000    0.000000000000    1
C8-BACKG 7.812500000000    0.000000000000    7.812500000000    0.000000000000    1
C8-BACKH 7.812500000000    0.000000000000    7.812500000000    0.000000000000    1
